id,FRAUDE,VALOR,HORA_AUX,Dist_max_NAL,Canal1,FECHA,COD_PAIS,CANAL,DIASEM,DIAMES,FECHA_VIN,OFICINA_VIN,SEXO,SEGMENTO,EDAD,INGRESOS,EGRESOS,NROPAISES,Dist_Sum_INTER,Dist_Mean_INTER,Dist_Max_INTER,NROCIUDADES,Dist_Mean_NAL,Dist_HOY,Dist_sum_NAL
9000000021,0,0,18,1,ATM_INT,20150522,US,ATM_INT,5,22,20130507,836,M,Personal,20,100000,100000,2,4552.41,4552.41,4552.41,1,,4552.41,1
9000000022,0,0,22,1,ATM_INT,20150513,US,ATM_INT,3,13,,,,,,,,1,,,,1,,4552.41,1
9000000023,0,0,15,1,ATM_INT,20150507,US,ATM_INT,4,7,20100511,659,F,Personal,22,800000,700000,2,4552.41,4552.41,4552.41,1,,4552.41,1
9000000024,0,0,15,243.62,ATM_INT,20150504,US,ATM_INT,1,4,,,,,,,,1,,,,3,213.36,4552.41,1706.9
9000000025,0,0,18,1,ATM_INT,20150522,US,ATM_INT,5,22,20130507,836,M,Personal,20,100000,100000,2,4552.41,4552.41,4552.41,1,,4552.41,1
9000000026,0,0,22,339.58,ATM_INT,20150501,US,ATM_INT,5,1,20070629,710,F,Personal Plus,27,1200000,500000,1,,,,5,276.46,4552.41,5805.7
9000000027,0,12895,9,1,POS,20150525,US,POS,1,25,20080122,554,M,Personal Plus,29,1000000,1000000,2,9104.82,4552.41,4552.41,1,,4552.41,1
9000000028,0,22997,11,659.13,POS,20150502,US,POS,6,2,20101001,582,F,Personal Plus,27,10500000,2000000,2,27314.46,4552.41,4552.41,4,324.12,4552.41,2268.86
9000000029,0,22997,11,659.13,POS,20150502,US,POS,6,2,20101001,582,F,Personal Plus,27,10500000,2000000,2,27314.46,4552.41,4552.41,4,324.12,4552.41,2268.86
9000000030,1,24347,22,352.24,ATM_INT,20150516,EC,ATM_INT,6,16,20020926,430,F,Personal Plus,24,3000000,2500000,5,39255.32,4361.7,10507.27,3,133.14,904.81,399.43
9000000031,0,33027,12,659.13,POS,20150511,US,POS,1,11,19950202,342,F,Personal Plus,26,3200000,2200000,1,,,,5,210.39,4552.41,1472.7
9000000032,0,42751,16,243.62,POS,20150521,US,POS,4,21,20050823,14,M,Personal Plus,28,2900000,1700000,1,,,,4,92.18,4552.41,553.1
9000000033,0,51135,15,498.04,POS,20150517,PA,POS,0,17,20140102,91,M,Personal,20,300000,150000,1,,,,4,254.83,1043.91,2548.29
9000000034,0,83656,11,340.09,POS,20150517,US,POS,0,17,20130604,267,F,Personal Plus,25,2500000,250000,2,113810.25,4552.41,4552.41,3,262.57,4552.41,9715.16
9000000035,0,106947,17,659.13,ATM_INT,20150531,US,ATM_INT,0,31,20091230,793,M,Personal Plus,26,1200000,750000,1,,,,4,332.85,4552.41,3994.25
9000000036,0,120720,17,243.62,POS,20150523,US,MCI,6,23,20110923,551,F,Personal Plus,26,2383000,400000,1,,,,4,92.18,4552.41,553.1
9000000037,0,167287,12,30.2,POS,20150524,PA,POS,0,24,20060711,191,M,Personal Plus,27,3202420,300000,2,4175.65,1043.91,1043.91,2,30.2,1043.91,543.66
9000000038,0,183791,19,304.29,POS,20150515,US,POS,5,15,20100818,586,M,Personal Plus,26,1640038,200000,3,63072.32,5733.85,7857.49,4,161.51,4552.41,1938.09
9000000039,0,210407,21,973.95,POS,20150526,AR,POS,2,26,20101006,19,M,Personal Plus,28,5623697,500000,2,18209.64,4552.41,4552.41,8,143.64,4308.01,6463.95
9000000040,0,214246,13,279.77,POS,20150515,US,POS,5,15,20110304,907,M,Personal Plus,24,2000000,0,5,27357.87,3908.27,7857.49,5,144.63,4552.41,1157.01
9000000041,1,238806,12,23.31,POS,20150503,US,POS,0,3,20120717,337,F,Personal Plus,25,1500000,1200000,2,36419.28,4552.41,4552.41,2,23.31,4552.41,46.62
9000000042,1,238806,12,23.31,POS,20150503,US,POS,0,3,20120717,337,F,Personal Plus,25,1500000,1200000,2,36419.28,4552.41,4552.41,2,23.31,4552.41,46.62
9000000043,0,239574,8,289.23,POS,20150521,US,POS,4,21,20100208,571,M,Personal Plus,27,9568000,1578388,1,,,,2,289.23,4552.41,578.46
9000000044,1,247738,19,523.1,ATM_INT,20150518,SV,ATM_INT,1,18,20130403,634,F,Personal Plus,29,1000000,500000,1,,,,2,523.1,2153.87,523.1
9000000045,0,248939,18,173.79,POS,20150524,US,POS,0,24,20081229,68,F,Personal Plus,28,3301000,2000000,1,,,,3,152.75,4552.41,611.01
9000000046,0,319403,14,904.71,POS,20150503,US,POS,0,3,20060814,808,M,Personal Plus,29,1933050,800000,1,,,,7,158.62,4552.41,2379.35
9000000047,0,319403,14,904.71,POS,20150503,US,POS,0,3,20060814,808,M,Personal Plus,29,1933050,800000,1,,,,7,158.62,4552.41,2379.35
9000000048,1,335790,22,1217.57,ATM_INT,20150521,GT,ATM_INT,4,21,20120530,84,F,Personal Plus,28,1000000,200000,1,,,,3,730.59,2370.55,2922.38
9000000049,1,455773,18,61.45,ATM_INT,20150513,CR,ATM_INT,3,13,20080319,487,M,Personal Plus,29,1100000,350000,1,,,,3,51.58,1482.35,309.51
9000000050,1,512295,23,733.11,ATM_INT,20150530,CR,ATM_INT,6,30,20051126,42,M,Personal Plus,25,1810000,900000,1,,,,5,372.02,1482.35,2232.1
9000000051,0,599694,14,23.59,POS,20150524,US,POS,0,24,20041230,438,M,PYME,26,60569982,55196483,1,,,,5,10.71,4552.41,278.58
9000000052,1,911546,18,61.45,ATM_INT,20150513,CR,ATM_INT,3,13,20080319,487,M,Personal Plus,29,1100000,350000,1,,,,3,51.58,1482.35,309.51
9000000053,0,1162627,11,61.45,POS,20150502,US,POS,6,2,20030109,777,F,Personal,23,160000,0,1,,,,2,61.45,4552.41,122.9
9000000054,0,1162627,11,61.45,POS,20150502,US,POS,6,2,20030109,777,F,Personal,23,160000,0,1,,,,2,61.45,4552.41,122.9
9000000055,0,1426722,14,1,POS,20150515,US,POS,5,15,20110715,360,M,Personal Plus,27,2000000,0,1,,,,1,,4552.41,1
9000000056,1,100014.31,20,306.67,ATM_INT,20150501,US,ATM_INT,5,1,20110418,860,F,Personal,22,400000,50000,1,,,,4,186.48,4552.41,1864.85
9000000057,0,100431.06,14,243.62,POS,20150511,US,POS,1,11,20110304,362,F,Personal Plus,24,1000000,400000,1,,,,2,243.62,4552.41,487.24
9000000058,0,1006252.4,20,1,ATM_INT,20150511,US,ATM_INT,1,11,20141209,174,M,Personal Plus,19,1500000,600000,1,,,,1,,4552.41,1
9000000059,1,100707.53,5,243.62,ATM_INT,20150507,US,ATM_INT,4,7,20120223,272,M,Personal Plus,28,1000000,800000,1,,,,2,243.62,4552.41,974.49
9000000060,1,100707.53,5,659.13,ATM_INT,20150507,US,ATM_INT,4,7,20110126,640,F,Personal Plus,22,1200000,700000,1,,,,2,659.13,4552.41,1318.26
9000000061,1,100707.53,5,304.29,ATM_INT,20150507,US,ATM_INT,4,7,20121024,749,M,Personal Plus,24,3567900,1500000,1,,,,3,290.88,4552.41,1163.54
9000000062,1,101213.81,19,1,ATM_INT,20150502,US,ATM_INT,6,2,20120216,795,F,Personal,21,100000,80000,1,,,,1,,4552.41,1
9000000063,1,1012853.07,11,594.77,POS,20150515,US,POS,5,15,20050415,716,M,Personal Plus,29,5643700,500000,1,,,,5,289.99,4552.41,2029.9
9000000064,1,101704.5,21,131.71,ATM_INT,20150519,US,ATM_INT,2,19,20120127,76,F,Personal Plus,21,1800000,700000,3,6078.29,1519.57,1618.55,3,96.58,4552.41,386.33
9000000065,1,101704.5,21,304.29,ATM_INT,20150519,US,ATM_INT,2,19,20110712,810,M,Personal Plus,24,2000000,100000,1,,,,4,149.24,4552.41,746.22
9000000066,0,1025339.54,20,304.29,POS,20150530,US,MCI,6,30,20050719,586,M,Personal Plus,28,8500000,2000000,5,42551.06,4255.11,7632.97,4,150.4,4552.41,902.42
9000000067,0,102940.04,11,70.8,POS,20150520,US,POS,3,20,20110726,640,M,Personal Plus,27,2400000,1500000,1,,,,3,51.15,4552.41,204.59
9000000068,0,103068.8,22,1,POS,20150520,US,MCI,3,20,,,,,,,,2,9104.82,4552.41,4552.41,1,,4552.41,1
9000000069,1,1034376.64,1,304.29,ATM_INT,20150528,US,ATM_INT,4,28,20140403,180,F,Personal,22,700000,200000,1,,,,4,186.64,4552.41,1119.85
9000000070,0,1043159.99,23,1,POS,20150501,US,MCI,5,1,,,,,,,,2,9104.82,4552.41,4552.41,1,,4552.41,1
9000000071,0,1043159.99,23,1,POS,20150501,US,MCI,5,1,,,,,,,,2,9104.82,4552.41,4552.41,1,,4552.41,1
9000000072,0,10530.01,13,1,POS,20150525,US,POS,1,25,20080122,554,M,Personal Plus,29,1000000,1000000,2,9104.82,4552.41,4552.41,1,,4552.41,1
9000000073,0,105576.54,22,28.59,ATM_INT,20150522,US,ATM_INT,5,22,20110923,379,M,Personal,24,536500,0,1,,,,4,18.1,4552.41,199.11
9000000074,0,106122.06,15,48.19,POS,20150525,PA,POS,1,25,20101111,40,F,Personal Plus,25,2900000,700000,1,,,,2,48.19,1043.91,96.38
9000000075,0,10743.04,7,289.23,POS,20150521,US,POS,4,21,20100208,571,M,Personal Plus,27,9568000,1578388,1,,,,2,289.23,4552.41,578.46
9000000076,0,107462.07,12,243.62,POS,20150501,US,POS,5,1,20120531,331,M,Personal Plus,27,7000000,2000000,2,63733.74,4552.41,4552.41,7,70.04,4552.41,2241.26
9000000077,0,107462.07,12,243.62,POS,20150501,US,POS,5,1,20120531,331,M,Personal Plus,27,7000000,2000000,2,63733.74,4552.41,4552.41,7,70.04,4552.41,2241.26
9000000078,0,108134.05,16,1,POS,20150527,US,POS,3,27,20060330,86,F,Personal Plus,26,7000000,4500000,1,,,,1,,4552.41,1
9000000079,0,10815.26,18,1,POS,20150519,US,MCI,2,19,20010831,549,F,Personal,22,700000,0,2,4552.41,4552.41,4552.41,1,,4552.41,1
9000000080,0,108221.47,20,659.13,POS,20150521,US,MCI,4,21,20011022,230,F,Personal Plus,25,2200000,0,1,,,,5,102.33,4552.41,2455.96
9000000081,0,109146.09,10,25.02,POS,20150514,US,POS,4,14,20050620,505,F,Personal Plus,27,3000000,500000,2,3237.1,1618.55,1618.55,4,17.6,4552.41,475.22
9000000082,0,109973.09,14,304.29,POS,20150520,US,POS,3,20,20070613,265,F,Personal Plus,27,2100000,500000,3,63296.85,5754.26,7857.49,3,196.89,4552.41,3150.22
9000000083,0,1105431.81,23,733.11,POS,20150520,US,MCI,3,20,20080617,32,F,Personal Plus,22,4000000,2000000,3,48002.68,5333.63,8455.65,4,236.03,4552.41,3068.4
9000000084,0,113432.08,15,741.95,POS,20150502,PA,POS,6,2,20080723,690,M,Personal Plus,28,3233160,500000,1,,,,5,285.83,1043.91,1714.96
9000000085,0,113432.08,15,741.95,POS,20150502,PA,POS,6,2,20080723,690,M,Personal Plus,28,3233160,500000,1,,,,5,285.83,1043.91,1714.96
9000000086,0,114157.5,23,698.52,POS,20150515,US,MCI,5,15,20040823,767,F,Personal Plus,28,4000000,2000000,1,,,,4,586.85,4552.41,4107.94
9000000087,0,115820.09,14,741.95,POS,20150502,PA,POS,6,2,20080723,690,M,Personal Plus,28,3233160,500000,1,,,,5,285.83,1043.91,1714.96
9000000088,0,11969.03,19,1,POS,20150511,US,POS,1,11,20121227,230,F,Personal,19,300000,0,1,,,,1,,4552.41,1
9000000089,0,1197971.46,18,1,ATM_INT,20150509,US,ATM_INT,6,9,20001215,829,F,Personal,24,900000,600000,2,4552.41,4552.41,4552.41,1,,4552.41,1
9000000090,1,119819.84,14,659.13,ATM_INT,20150526,CR,ATM_INT,2,26,20080409,210,M,Personal Plus,29,2100000,310000,2,8616.02,4308.01,4308.01,5,342.47,1482.35,2739.72
9000000091,1,1200872.44,23,659.13,ATM_INT,20150508,PA,ATM_INT,5,8,20030321,443,F,Emprendedor,27,4000000,2000000,3,11192.64,2798.16,4552.41,4,424.73,1043.91,2123.66
9000000092,1,120477.78,14,461.26,ATM_INT,20150504,EC,ATM_INT,1,4,20100107,82,F,Personal Plus,22,1000000,900000,2,4552.41,4552.41,4552.41,6,115.51,904.81,1617.18
9000000093,1,1207571.4,23,1,ATM_INT,20150513,US,ATM_INT,3,13,20090723,4,F,Personal Plus,27,2200000,0,2,9104.82,4552.41,4552.41,1,,4552.41,1
9000000094,1,1209087.18,17,594.77,ATM_INT,20150515,US,ATM_INT,5,15,20050415,716,M,Personal Plus,29,5643700,500000,1,,,,5,289.99,4552.41,2029.9
9000000095,0,120942.5,20,711.63,POS,20150524,US,MCI,0,24,20080717,442,F,Personal Plus,26,2500000,500000,2,3237.1,1618.55,1618.55,4,526.5,4552.41,4212.01
9000000096,0,1217171.34,15,829.7,ATM_INT,20150506,US,ATM_INT,3,6,20131011,337,F,Personal Plus,26,1771000,600000,1,,,,3,769.76,4552.41,1539.51
9000000097,0,121880.05,13,48.19,POS,20150525,PA,POS,1,25,20101111,40,F,Personal Plus,25,2900000,700000,1,,,,2,48.19,1043.91,96.38
9000000098,0,122877.07,22,973.95,POS,20150526,AR,POS,2,26,20101006,19,M,Personal Plus,28,5623697,500000,2,18209.64,4552.41,4552.41,8,143.64,4308.01,6463.95
9000000099,1,1256805.4,18,243.62,ATM_INT,20150513,US,ATM_INT,3,13,20120221,1,M,Personal Plus,22,1800000,100000,2,1809.62,904.81,904.81,7,114.18,4552.41,2169.37
9000000100,1,1280737.5,1,733.11,ATM_INT,20150531,CR,ATM_INT,0,31,20121227,180,F,Personal Plus,27,3200000,1000000,2,2370.55,2370.55,2370.55,5,371.59,1482.35,2972.72
9000000101,1,128922.26,13,659.13,ATM_INT,20150501,US,ATM_INT,5,1,20120306,392,M,Personal Plus,29,1200000,1200000,1,,,,6,474.94,4552.41,5224.36
9000000102,0,129131.28,23,26.6,POS,20150519,US,MCI,2,19,20101021,8,M,Personal Plus,25,2100000,400000,1,,,,3,22.86,4552.41,502.94
9000000103,0,1293465.6,13,123.61,ATM_INT,20150527,US,ATM_INT,3,27,20131106,54,F,Personal,22,200000,200000,1,,,,2,123.61,4552.41,247.22
9000000104,0,1293484.48,21,614.04,POS,20150503,US,MCI,0,3,20100825,767,M,Personal Plus,26,12500000,500000,2,18209.64,4552.41,4552.41,4,297.26,4798.32,1189.02
9000000105,0,130581.08,10,330.51,POS,20150503,US,POS,0,3,20110210,21,F,Personal Plus,31,1770000,350000,2,23127.23,3854.54,3854.54,7,143.46,5589.11,3156.2
9000000106,0,130581.08,10,330.51,POS,20150503,US,POS,0,3,20110210,21,F,Personal Plus,31,1770000,350000,2,23127.23,3854.54,3854.54,7,143.46,5589.11,3156.2
9000000107,1,1306458.35,18,733.11,ATM_INT,20150515,US,ATM_INT,5,15,20131003,172,M,Personal Plus,29,2166700,600000,1,,,,4,326.49,4552.41,1632.46
9000000108,0,133963.96,0,304.29,POS,20150530,US,MCI,6,30,20050719,586,M,Personal Plus,28,8500000,2000000,5,42551.06,4255.11,7632.97,4,150.4,4552.41,902.42
9000000109,1,1345011.17,22,181.91,POS,20150527,US,MCI,3,27,20120515,59,F,Personal Plus,27,3672200,500000,1,,,,3,104.74,4552.41,418.97
9000000110,1,1345011.17,22,181.91,POS,20150527,US,MCI,3,27,20120515,59,F,Personal Plus,27,3672200,500000,1,,,,3,104.74,4552.41,418.97
9000000111,0,134528.74,5,662.36,POS,20150529,US,MCI,5,29,20110208,434,F,Personal Plus,25,3000000,700000,2,4552.41,4552.41,4552.41,3,638.2,4552.41,2552.8
9000000112,0,134557.36,15,1,POS,20150515,US,MCI,5,15,20110826,462,F,Personal,22,800000,200000,1,,,,1,,4552.41,1
9000000113,1,134777.06,9,594.77,POS,20150515,US,POS,5,15,20050415,716,M,Personal Plus,29,5643700,500000,1,,,,5,289.99,4552.41,2029.9
9000000114,0,138590.04,6,12.01,POS,20150517,PA,POS,0,17,19940429,275,F,Personal Plus,25,2403500,200000,2,9104.82,4552.41,4552.41,3,10.68,1043.91,42.71
9000000115,1,140294.03,12,594.77,POS,20150515,US,POS,5,15,20050415,716,M,Personal Plus,29,5643700,500000,1,,,,5,289.99,4552.41,2029.9
9000000116,0,142012.08,15,243.62,POS,20150514,US,POS,4,14,20070122,310,F,Personal Plus,26,2000000,1500000,3,32205.7,4025.71,4552.41,3,195.21,4552.41,976.03
9000000117,0,144205.51,20,711.63,POS,20150524,US,MCI,0,24,20080717,442,F,Personal Plus,26,2500000,500000,2,3237.1,1618.55,1618.55,4,526.5,4552.41,4212.01
9000000118,0,144231.01,17,1111.02,POS,20150525,US,POS,1,25,20100105,267,F,Personal Plus,26,3600000,2000000,1,,,,5,592.49,4552.41,4739.92
9000000119,0,1453098.29,23,9.34,ATM_INT,20150504,US,ATM_INT,1,4,20120628,436,F,Personal Plus,22,1000000,0,1,,,,2,9.34,4552.41,84.08
9000000120,0,1453098.29,19,23.31,ATM_INT,20150501,US,ATM_INT,5,1,20130809,281,M,Personal,20,1,0,1,,,,2,23.31,4552.41,46.62
9000000121,0,145334.08,12,70.8,POS,20150520,US,POS,3,20,20110726,640,M,Personal Plus,27,2400000,1500000,1,,,,3,51.15,4552.41,204.59
9000000122,0,1455283.61,19,711.63,POS,20150524,US,MCI,0,24,20080717,442,F,Personal Plus,26,2500000,500000,2,3237.1,1618.55,1618.55,4,526.5,4552.41,4212.01
9000000123,0,1456123.2,17,1,ATM_INT,20150505,US,ATM_INT,2,5,20140625,2,F,Personal,21,300000,0,2,4552.41,4552.41,4552.41,1,,4552.41,1
9000000124,0,1461547.5,18,1,ATM_INT,20150518,US,ATM_INT,1,18,20120614,53,F,Personal,22,400000,200000,1,,,,1,,4552.41,1
9000000125,1,148662.36,5,243.62,ATM_INT,20150507,US,ATM_INT,4,7,20120223,272,M,Personal Plus,28,1000000,800000,1,,,,2,243.62,4552.41,974.49
9000000126,1,148662.36,5,304.29,ATM_INT,20150507,US,ATM_INT,4,7,20121024,749,M,Personal Plus,24,3567900,1500000,1,,,,3,290.88,4552.41,1163.54
9000000127,0,149755.02,11,44.82,POS,20150503,US,POS,0,3,20070627,72,M,Personal Plus,26,1984000,800000,1,,,,5,20.13,4552.41,221.48
9000000128,0,149755.02,11,44.82,POS,20150503,US,POS,0,3,20070627,72,M,Personal Plus,26,1984000,800000,1,,,,5,20.13,4552.41,221.48
9000000129,0,15089.52,18,74.29,POS,20150524,US,MCI,0,24,20070424,226,M,Personal Plus,28,8008000,3000000,2,9104.82,4552.41,4552.41,2,74.29,4552.41,148.59
9000000130,0,151232.05,11,279.77,POS,20150515,US,POS,5,15,20110304,907,M,Personal Plus,24,2000000,0,5,27357.87,3908.27,7857.49,5,144.63,4552.41,1157.01
9000000131,1,151246.09,18,659.13,ATM_INT,20150509,US,ATM_INT,6,9,20020903,789,F,Personal Plus,20,2800000,2200000,2,9104.82,4552.41,4552.41,3,137.89,4552.41,3033.63
9000000132,0,1516697.84,23,1,ATM_INT,20150523,US,ATM_INT,6,23,20070411,783,F,Personal Plus,27,1856000,1000000,1,,,,1,,4552.41,1
9000000133,1,151808.72,11,33.24,ATM_INT,20150504,US,ATM_INT,1,4,20131019,678,M,Personal,23,800000,0,1,,,,2,33.24,4552.41,66.49
9000000134,0,15227.02,15,243.62,POS,20150507,US,POS,4,7,20060405,113,M,Personal Plus,29,9200000,2400000,3,11739.9,1956.65,3782.13,4,64.03,4552.41,576.3
9000000135,0,152313.04,19,61.45,ATM_INT,20150511,US,ATM_INT,1,11,,,,,,,,1,,,,2,61.45,4552.41,122.9
9000000136,0,15383.4,5,733.11,POS,20150520,US,MCI,3,20,20080617,32,F,Personal Plus,22,4000000,2000000,3,48002.68,5333.63,8455.65,4,236.03,4552.41,3068.4
9000000137,1,154071.12,13,1,ATM_INT,20150523,US,ATM_INT,6,23,20150220,547,M,Emprendedor,20,4000000,2500000,1,,,,1,,4552.41,1
9000000138,0,154074.6,22,240.94,POS,20150521,US,MCI,4,21,20070207,42,F,Personal Plus,27,2500000,800000,2,13657.23,4552.41,4552.41,2,240.94,4552.41,481.89
9000000139,0,154188.32,21,698.52,POS,20150515,US,MCI,5,15,20040823,767,F,Personal Plus,28,4000000,2000000,1,,,,4,586.85,4552.41,4107.94
9000000140,0,154251.64,22,659.13,POS,20150521,US,MCI,4,21,20011022,230,F,Personal Plus,25,2200000,0,1,,,,5,102.33,4552.41,2455.96
9000000141,1,154268.61,22,294.43,ATM_INT,20150520,US,ATM_INT,3,20,20050730,777,M,Personal Plus,28,3546400,1150000,1,,,,5,107.08,4552.41,1070.77
9000000142,0,158161.02,11,614.04,POS,20150501,PA,POS,5,1,20070704,678,M,Personal Plus,28,4210000,100000,1,,,,7,336.36,1043.91,2690.86
9000000143,0,158161.02,11,614.04,POS,20150501,PA,POS,5,1,20070704,678,M,Personal Plus,28,4210000,100000,1,,,,7,336.36,1043.91,2690.86
9000000144,0,158275.04,13,23.59,POS,20150524,US,POS,0,24,20041230,438,M,PYME,26,60569982,55196483,1,,,,5,10.71,4552.41,278.58
9000000145,0,160280.07,19,533.63,POS,20150513,PA,POS,3,13,20060120,666,F,Personal Plus,28,1680000,1747000,2,9104.82,4552.41,4552.41,5,252.8,1043.91,1769.63
9000000146,0,16121.09,13,9.34,POS,20150515,US,POS,5,15,,,,,,,,2,4552.41,4552.41,4552.41,2,9.34,4552.41,9.34
9000000147,0,161357.27,20,711.63,POS,20150524,US,MCI,0,24,20080717,442,F,Personal Plus,26,2500000,500000,2,3237.1,1618.55,1618.55,4,526.5,4552.41,4212.01
9000000148,0,162344.85,20,659.13,POS,20150521,US,MCI,4,21,20011022,230,F,Personal Plus,25,2200000,0,1,,,,5,102.33,4552.41,2455.96
9000000149,0,162461.04,18,662.36,POS,20150519,US,POS,2,19,20130510,442,F,Personal Plus,29,2000000,200000,1,,,,2,662.36,4552.41,3974.17
9000000150,1,163762.8,19,614.04,ATM_INT,20150513,MX,ATM_INT,3,13,20120523,777,F,Emprendedor,28,3200000,200000,1,,,,3,429.84,3854.54,2579.04
9000000151,0,163926.33,2,662.36,POS,20150529,US,MCI,5,29,20110208,434,F,Personal Plus,25,3000000,700000,2,4552.41,4552.41,4552.41,3,638.2,4552.41,2552.8
9000000152,0,164522.28,2,18.78,POS,20150519,US,MCI,2,19,20110503,298,F,Personal Plus,24,1660900,100000,1,,,,3,10.92,4552.41,130.98
9000000153,0,16675.5,21,698.52,POS,20150515,US,MCI,5,15,20040823,767,F,Personal Plus,28,4000000,2000000,1,,,,4,586.85,4552.41,4107.94
9000000154,0,166828.1,21,221.58,POS,20150510,US,MCI,0,10,20041021,582,F,Personal Plus,20,2400000,600000,1,,,,4,168.11,4552.41,840.54
9000000155,0,16709.14,17,1,POS,20150510,US,MCI,0,10,,,,,,,,2,18209.64,4552.41,4552.41,1,,4552.41,1
9000000156,1,1675514.57,21,239.21,ATM_INT,20150509,US,ATM_INT,6,9,,,,,,,,1,,,,3,107.92,4552.41,755.46
9000000157,0,168525.03,11,614.04,POS,20150501,PA,POS,5,1,20070704,678,M,Personal Plus,28,4210000,100000,1,,,,7,336.36,1043.91,2690.86
9000000158,1,1690354.64,20,733.11,ATM_INT,20150514,US,ATM_INT,4,14,20051126,230,M,Personal Plus,29,4500000,2000000,1,,,,7,176.85,4552.41,2652.8
9000000159,1,170528.4,22,1217.57,ATM_INT,20150521,GT,ATM_INT,4,21,20120530,84,F,Personal Plus,28,1000000,200000,1,,,,3,730.59,2370.55,2922.38
9000000160,1,1713674.75,19,1217.57,ATM_INT,20150516,US,ATM_INT,6,16,20110120,193,M,Personal Plus,25,2000000,1700000,1,,,,2,1217.57,4552.41,1217.57
9000000161,1,1713674.75,16,399.63,ATM_INT,20150516,US,ATM_INT,6,16,20121026,649,M,Personal,22,350000,200000,1,,,,3,148.75,4552.41,892.5
9000000162,0,172222.02,23,711.63,POS,20150524,US,POS,0,24,20080717,442,F,Personal Plus,26,2500000,500000,2,3237.1,1618.55,1618.55,4,526.5,4552.41,4212.01
